model,task,method,shot,Bleu,Bleu_60,Bleu_237,Bleu_272,Bleu_432,Bleu_443,F1,F1_60,F1_237,F1_272,F1_432,F1_443,Meteor,Meteor_60,Meteor_237,Meteor_272,Meteor_432,Meteor_443,CodeT5+,CodeT5+_60,CodeT5+_237,CodeT5+_272,CodeT5+_432,CodeT5+_443
qwen2.5-3b,java,retrieval,3-shot,Bleu,16.87,16.91,16.95,17.25,17.13,F1,0.33,0.34,0.34,0.34,0.34,Meteor,0.33,0.33,0.32,0.31,0.32,CodeT5,0.63,0.63,0.62,0.60,0.61
qwen2.5-3b,java,zero,0-shot,Bleu,4.25,12.08,12.01,13.21,12.95,F1,0.08,0.28,0.27,0.29,0.28,Meteor,0.23,0.30,0.28,0.27,0.27,CodeT5,0.79,0.70,0.68,0.64,0.65
qwen2.5-3b,python,naive,3-shot,Bleu,16.94,15.96,16.46,16.72,16.22,F1,0.35,0.33,0.34,0.34,0.32,Meteor,0.31,0.31,0.31,0.30,0.30,CodeT5,0.58,0.60,0.59,0.58,0.58
qwen2.5-3b,python,retrieval,3-shot,Bleu,15.46,15.35,15.55,16.12,16.04,F1,0.32,0.32,0.32,0.32,0.32,Meteor,0.30,0.30,0.29,0.29,0.29,CodeT5,0.60,0.61,0.60,0.58,0.58
qwen2.5-3b,python,zero,0-shot,Bleu,3.69,11.42,11.90,13.24,13.27,F1,0.08,0.26,0.26,0.27,0.27,Meteor,0.23,0.30,0.28,0.27,0.27,CodeT5,0.82,0.69,0.67,0.63,0.64
qwen2.5-7b,java,naive,3-shot,Bleu,15.82,15.80,15.13,15.87,15.75,F1,0.35,0.34,0.33,0.34,0.33,Meteor,0.32,0.32,0.31,0.30,0.30,CodeT5,0.62,0.62,0.63,0.59,0.59
qwen2.5-7b,java,retrieval,3-shot,Bleu,15.79,16.67,16.04,16.68,16.75,F1,0.32,0.34,0.33,0.33,0.33,Meteor,0.33,0.33,0.32,0.30,0.30,CodeT5,0.66,0.64,0.64,0.60,0.61
qwen2.5-7b,java,zero,0-shot,Bleu,1.76,11.96,11.47,12.71,12.88,F1,-0.09,0.28,0.26,0.28,0.28,Meteor,0.19,0.31,0.28,0.26,0.26,CodeT5,0.83,0.71,0.70,0.63,0.64
qwen2.5-7b,python,naive,3-shot,Bleu,15.81,15.16,15.16,16.36,16.08,F1,0.33,0.32,0.32,0.33,0.32,Meteor,0.31,0.32,0.31,0.30,0.29,CodeT5,0.61,0.63,0.62,0.58,0.58
qwen2.5-7b,python,retrieval,3-shot,Bleu,14.07,15.02,14.54,15.46,15.52,F1,0.31,0.31,0.31,0.31,0.31,Meteor,0.30,0.30,0.29,0.28,0.28,CodeT5,0.64,0.62,0.63,0.58,0.59
qwen2.5-7b,python,zero,0-shot,Bleu,0.26,10.60,10.73,12.55,12.71,F1,-0.30,0.25,0.24,0.26,0.26,Meteor,0.13,0.30,0.28,0.25,0.26,CodeT5,0.86,0.71,0.70,0.63,0.63
